username,first_name,last_name,password,roles
roland,Roland,Around,roland,"inventory_clerk,manager,owner,sales_person,service_writer"
user01,Kris,Maisto,pass01,sales_person
user02,Dyan,Weglarz,pass02,manager
user03,Vi,Shields,pass03,inventory_clerk
user04,Pete,Butzen,pass04,sales_person
user05,Vi,Hoopengardner,pass05,inventory_clerk
user06,Sylvia,Rodenberger,pass06,sales_person
user07,Elke,Perez,pass07,inventory_clerk
user08,France,Matuszak,pass08,sales_person
user09,Novella,Gillian,pass09,inventory_clerk
user10,Paz,Sayaphon,pass10,sales_person
user11,Margart,Hoopengardner,pass11,inventory_clerk
user12,Gearldine,Discipio,pass12,service_writer
user13,Amber,Scheyer,pass13,service_writer
user14,Melissa,Shealy,pass14,inventory_clerk
user15,Yvonne,Poullion,pass15,service_writer
user16,Elvera,Funnell,pass16,inventory_clerk
user17,Sylvie,Lueckenbach,pass17,service_writer
user18,Viola,Reitler,pass18,inventory_clerk
user19,Delisa,Lary,pass19,sales_person
user20,Stephaine,Kitty,pass20,inventory_clerk
user21,Dyan,Lary,pass21,sales_person
user22,Glenn,Vocelka,pass22,sales_person
user23,Nan,Restrepo,pass23,sales_person
user24,Nobuko,Leto,pass24,manager
user25,Simona,Pawlowicz,pass25,inventory_clerk
user26,Nan,Dilliard,pass26,inventory_clerk
user27,Blondell,Juhas,pass27,inventory_clerk
user28,Youlanda,Nayar,pass28,manager
user29,Yvonne,Tillotson,pass29,service_writer
user30,Jenelle,Palaia,pass30,service_writer
user31,Leslie,Cloney,pass31,manager
user32,Glendora,Butt,pass32,sales_person
user33,Jacqueline,Campain,pass33,service_writer
